,contractor_id,plan_name,primary_trade,ladder_use,scaffolds,confined_space,aerial_lift,cpr_training,excavation,fall_protection,investigation_prgm,fatality_2017,fatality_2018,restricted_day_17,restricted_day_18,lost_days_17,lost_days_18,recordable_17,recordable_18,work_hours_17,work_hours_18,emr_17,emr_18,flame_spark_activity,hoisting_rigging_eq,live_electrical_component,electrical_component,safety_health_program,safety_manager,emp_involvement_plan,emp_performance_evalution,osha_citation,fatality_2019,restricted_day_19,lost_days_19,recordable_19,dart_17,dart_18,dart_19,days_away_cases_17,days_away_cases_18,days_away_cases_19
16277,16278,0,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,9015,14616,0,0,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16278,16279,2,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16279,16280,1,74,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,32600,35400,0,0,3,3,3,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
16280,16281,1,227,1,1,1,1,3,1,1,2,0,0,0,0,0,0,0,0,25000,28800,0,0,1,1,1,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
16281,16282,1,227,1,1,3,1,3,3,2,2,0,0,0,0,2,31,1,1,114500,108300,0,0,3,3,3,3,2,1,2,2,1,0,0,0,0,1,1,0,0,0,0
16282,16283,1,227,3,3,3,3,3,2,2,2,0,0,0,0,9,4,0,0,388550,434440,0,0,1,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,0
16283,16284,1,227,3,3,1,3,1,1,2,2,0,0,0,0,0,4,0,0,52000,57000,0,0,1,3,1,1,2,1,1,1,0,0,0,3,0,0,0,0,0,2,1
16284,16285,1,227,3,1,3,3,3,1,2,2,0,0,21,21,86,149,8,8,784723,777049,0,0,3,1,1,3,2,2,2,2,1,0,0,513,12,7,6,11,0,0,0
16285,16286,0,227,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
16286,16287,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16287,16288,1,122,3,1,1,1,3,1,2,2,0,0,0,0,0,0,4,1,166284,193867,0,1,1,1,1,2,2,1,2,2,1,0,0,0,1,0,1,0,0,0,0
16288,16289,1,227,3,3,3,1,3,1,2,2,0,0,0,0,0,0,0,0,454159,482689,0,0,3,1,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
16289,16290,0,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16290,16291,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16291,16292,2,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16292,16293,1,227,3,3,3,3,1,3,2,2,0,0,0,0,0,1,0,5,592908,419003,0,0,3,3,1,3,2,2,2,1,1,0,29,0,6,0,2,4,0,0,0
16293,16294,0,227,3,3,3,3,1,3,2,2,0,0,0,0,0,0,0,0,10820,12480,1,1,3,3,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
16294,16295,1,227,3,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,5504,5478,1,0,3,3,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16295,16296,1,227,3,1,1,3,3,1,2,2,0,0,27,27,0,0,2,0,69305,40585,0,0,1,1,1,3,2,1,2,2,1,0,0,0,0,1,0,0,0,0,0
16296,16297,1,227,3,3,3,3,3,3,2,2,0,0,42,42,0,69,2,3,78866,66000,0,0,3,3,1,1,2,2,2,2,1,0,0,0,0,1,2,0,0,0,0
16297,16298,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
