contractor_id,trade_id,total
17578,1112,98
17578,1112,98
17578,1112,98
17578,1112,98
188,845,97
188,845,97
188,845,97
188,845,97
188,845,97
188,845,97
188,845,97
188,845,97
188,845,97
188,845,97
188,845,97
188,845,97
2,350,
21384,9,-44.29
7055,1137,90.84
7055,1137,90.84
188,760,98
188,760,98
188,760,98
188,760,98
188,760,98
188,760,98
188,760,98
21966,112,55
20852,22,80.65
20852,26,80.65
20852,34,80.65
15184,244,17.59
15862,935,85.18
15862,955,84.18
15862,967,86.18
86,328,64
86,328,64
86,328,64
86,328,64
13560,298,68.71
13560,298,68.71
13560,298,68.71
13560,298,68.71
21966,2,55
106,845,62.8
2,350,
12791,492,72.94
12791,638,77.94
12791,1012,76.94
21256,429,83.97
21256,436,83.97
21256,437,83.97
192,638,
21256,440,83.97
21256,638,83.97
17578,1112,98
17578,1112,98
17578,1112,98
17578,1112,98
17578,1112,98
137,9,91.19
137,9,91.19
137,9,91.19
137,9,91.19
137,9,91.19
137,9,91.19
17578,1112,98
17578,1113,98
17578,1113,98
17578,1113,98
17578,1113,98
17578,1113,98
17578,1113,98
17578,1113,98
17578,1113,98
17578,1114,98
2,350,
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1114,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1116,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1117,98
17578,1118,98
17578,1118,98
17578,1118,98
17578,1118,98
17578,1118,98
17578,1118,98
17578,1118,98
17578,1118,98
17578,1118,98
17578,1118,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1120,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1121,98
17578,1122,98
17578,1122,98
17578,1122,98
17578,1122,98
17578,1122,98
17578,1122,98
17578,1122,98
